,Title,Rating,Review,Review_Date
0,"5.0 out of 5 stars
One of the best CGM and app interface !",5.0,"The user interface of the app is fantastic and provides precise results. Initially, it requires a 24-hour calibration period. After this, I noticed some discrepancies in accuracy, so I contacted customer support. Impressively, they responded within an hour and provided a Glucometer to verify the app's readings. After recalibration, the app's accuracy improved significantly.I'm also a user of the Ultrahuman air ring, and I appreciate how seamlessly it integrates with the app, offering comprehensive data analysis.The app is proactive in its reminders, prompting scans in the morning and periodically throughout the day. It's particularly useful after meals, suggesting short walks and other actions if a glucose spike is detected.This tool has been instrumental in understanding my glucose levels and how different meals affect them, allowing me to make informed dietary adjustments.I even got one for my wife, and she's equally impressed.Overall, this product is my go-to choice and has my full endorsement.Thank you, Ultrahuman.", 14 January 2024
1,"1.0 out of 5 stars
UltraHuman is an UltraScam! Didn’t work after couple of hours of putting on the patch.",1.0,"I bought it and after the first reading when I tried to read the second time the patch started showing your blood sugar level as crashed with a reading of “51”. I was feeling well. Just to be doubly sure I checked my blood level with the pin prick accu. It showed 174. But not wanting to give up on the convenience of the mobile phone reading wanted to give Ultrahuman a fair chance. Also their WhatsApp support told me that usually such reading become good after a day or so. Tried for many hours and the next day, fully frustrated, removed it to send it back for refund. After many frustrating days of complaints with many people and satisfying them with proofs like photograph of the readings, etc. they refused to give the refund. TL;DR - Avoid UltraHuman. It is a big scam with people who are running the scam having no understanding of what customer service is.", 27 May 2023
2,"5.0 out of 5 stars
Amazing and its a blessing",5.0,"Worked wonders. This is amazing. I am now in control of my glucose level, because I can see the levels and the app tells me  what could have gone wrong and how can I improve it. This is a blessing ! Thank you.", 18 April 2024
3,"4.0 out of 5 stars
Good for tracking glucose spikes",4.0,"Been using Ultrahuman app for checking glucose spikes and overall health. App is really informative with notifications and also tracking food metrics. Have realised that fever and weakness has so much effect on glucose and metabolism. After 10 days, I was able to control glucose spikes with a daily routine and discipline.Really recommend trying this tracker once to see how your body reacts to different foods", 30 August 2023
4,"5.0 out of 5 stars
Accuracy",5.0,"Highly accurate.  Very useful and a must for anyone who wants to do intermittent fasting,  diabetes reduction,  weight loss and fitness.", 8 April 2024
5,"1.0 out of 5 stars
Malpractice - expired sensor sold",1.0,"Received package on 31st March 2024 with Freestyle Libre sensor package reading expiry of March 2024 rendering it useless to install.Being non-returnable, this is a reportable malpractice.Hope Ultraguman takes note of the same.", 7 April 2024
6,"5.0 out of 5 stars
Biohack",5.0,"First time user of this magical device. It is a must try for any person if one is interested to know about the cycles and energy levels of one's body.I tried it during fasting, normal days, workouts and it has made me understand what makes me tired in the morning when I wake up, what meal causes lethargy and why.It is a total gamechanger. Kudos to the team for developing such an amazing product. Must try", 19 March 2024
7,"3.0 out of 5 stars
Abbott sensor cartridge already “fired” position",3.0,Sensor cartridge already in fired position out of the box. With this you can’t connect the applicator properly (note the grey cartridge is at the bottom of the white cartridge).Note: Not ultrahumans problem. They shipped a perfectly fine Abbott Freestyle Libre box. They have a return envelope included for faulty etc sensors and will replace it., 23 March 2024
8,"2.0 out of 5 stars
Sensor not working",2.0,"The media could not be loaded.
                



HiWe have used ultra human before . But this time , it arrived a day before and we installed the sensor last night .Today it seems not to work .How do. We go about this . There are other unopened packs .", 25 March 2024
9,"4.0 out of 5 stars
Good to try it out to check your body responce to various foods.",4.0,I have completed 15 days and now I have a fairly good idea what I should avoid eating to avoid a spike in my sugar level.Firstly the readings are not matching with the blood sugar monitor. I had a difference of more tha 20 each time I compared with my blood monitor. Even after trying to sync the machine it did not get corrected.Would have given 5 stars if it was more accurate and reasonably priced., 28 September 2023
10,"5.0 out of 5 stars
One of the best CGM and app interface !",5.0,"The user interface of the app is fantastic and provides precise results. Initially, it requires a 24-hour calibration period. After this, I noticed some discrepancies in accuracy, so I contacted customer support. Impressively, they responded within an hour and provided a Glucometer to verify the app's readings. After recalibration, the app's accuracy improved significantly.I'm also a user of the Ultrahuman air ring, and I appreciate how seamlessly it integrates with the app, offering comprehensive data analysis.The app is proactive in its reminders, prompting scans in the morning and periodically throughout the day. It's particularly useful after meals, suggesting short walks and other actions if a glucose spike is detected.This tool has been instrumental in understanding my glucose levels and how different meals affect them, allowing me to make informed dietary adjustments.I even got one for my wife, and she's equally impressed.Overall, this product is my go-to choice and has my full endorsement.Thank you, Ultrahuman.", 14 January 2024
11,"1.0 out of 5 stars
UltraHuman is an UltraScam! Didn’t work after couple of hours of putting on the patch.",1.0,"I bought it and after the first reading when I tried to read the second time the patch started showing your blood sugar level as crashed with a reading of “51”. I was feeling well. Just to be doubly sure I checked my blood level with the pin prick accu. It showed 174. But not wanting to give up on the convenience of the mobile phone reading wanted to give Ultrahuman a fair chance. Also their WhatsApp support told me that usually such reading become good after a day or so. Tried for many hours and the next day, fully frustrated, removed it to send it back for refund. After many frustrating days of complaints with many people and satisfying them with proofs like photograph of the readings, etc. they refused to give the refund. TL;DR - Avoid UltraHuman. It is a big scam with people who are running the scam having no understanding of what customer service is.", 27 May 2023
12,"5.0 out of 5 stars
Amazing and its a blessing",5.0,"Worked wonders. This is amazing. I am now in control of my glucose level, because I can see the levels and the app tells me  what could have gone wrong and how can I improve it. This is a blessing ! Thank you.", 18 April 2024
13,"4.0 out of 5 stars
Good for tracking glucose spikes",4.0,"Been using Ultrahuman app for checking glucose spikes and overall health. App is really informative with notifications and also tracking food metrics. Have realised that fever and weakness has so much effect on glucose and metabolism. After 10 days, I was able to control glucose spikes with a daily routine and discipline.Really recommend trying this tracker once to see how your body reacts to different foods", 30 August 2023
14,"5.0 out of 5 stars
Accuracy",5.0,"Highly accurate.  Very useful and a must for anyone who wants to do intermittent fasting,  diabetes reduction,  weight loss and fitness.", 8 April 2024
